state,year,type_variable,Statistics
NM,2011,Overweight,62.2
NV,2011,Overweight,60.2
NY,2011,Overweight,60.3
OH,2011,Overweight,65.9
OK,2011,Overweight,65.4
OR,2011,Overweight,61.5
PA,2011,Overweight,64.5
PR,2011,Overweight,66.2
RI,2011,Overweight,62.4
SC,2011,Overweight,65.9
SD,2011,Overweight,64.4
TN,2011,Overweight,66.5
TX,2011,Overweight,65.8
UT,2011,Overweight,58.9
VA,2011,Overweight,63.3
VT,2011,Overweight,59.8
WA,2011,Overweight,61
WI,2011,Overweight,64
WV,2011,Overweight,68.9
WY,2011,Overweight,61.3
AK,2011,poverty,10.5
AL,2011,poverty,19
AR,2011,poverty,19.5
AZ,2011,poverty,19
CA,2011,poverty,16.6
CO,2011,poverty,13.5
CT,2011,poverty,10.9
DC,2011,poverty,18.7
DE,2011,poverty,11.9
FL,2011,poverty,17
GA,2011,poverty,19.1
HI,2011,poverty,12
IA,2011,poverty,12.8
ID,2011,poverty,16.5
IL,2011,poverty,15
IN,2011,poverty,16
KS,2011,poverty,13.8
KY,2011,poverty,19.1
LA,2011,poverty,20.4
MA,2011,poverty,11.6
MD,2011,poverty,10.1
ME,2011,poverty,14.1
MI,2011,poverty,17.5
MN,2011,poverty,11.9
MO,2011,poverty,15.8
MS,2011,poverty,22.6
MT,2011,poverty,14.8
NC,2011,poverty,17.9
ND,2011,poverty,12.2
NE,2011,poverty,13.1
NH,2011,poverty,8.8
NJ,2011,poverty,10.4
NM,2011,poverty,21.5
NV,2011,poverty,15.9
NY,2011,poverty,16
OH,2011,poverty,16.4
OK,2011,poverty,17.2
OR,2011,poverty,17.5
PA,2011,poverty,13.8
PR,2011,poverty,45.6
RI,2011,poverty,14.7
SC,2011,poverty,18.9
SD,2011,poverty,13.9
TN,2011,poverty,18.3
TX,2011,poverty,18.5
UT,2011,poverty,13.5
VA,2011,poverty,11.5
VT,2011,poverty,11.5
WA,2011,poverty,13.9
WI,2011,poverty,13.1
WV,2011,poverty,18.6
WY,2011,poverty,11.3
AK,2011,Diabetes,7.9
AL,2011,Diabetes,11.8
AR,2011,Diabetes,11.2
AZ,2011,Diabetes,9.5
CA,2011,Diabetes,8.9
CO,2011,Diabetes,6.7
CT,2011,Diabetes,9.3
DC,2011,Diabetes,9.1
DE,2011,Diabetes,9.7
FL,2011,Diabetes,10.4
GA,2011,Diabetes,10.2
GU,2011,Diabetes,9.9
HI,2011,Diabetes,8.4
IA,2011,Diabetes,8.2
ID,2011,Diabetes,9.4
IL,2011,Diabetes,9.7
IN,2011,Diabetes,10.2
KS,2011,Diabetes,9.5
KY,2011,Diabetes,10.8
LA,2011,Diabetes,11.8
MA,2011,Diabetes,8
MD,2011,Diabetes,9.5
ME,2011,Diabetes,9.6
MI,2011,Diabetes,10
MN,2011,Diabetes,7.3
MO,2011,Diabetes,10.2
MS,2011,Diabetes,12.3
MT,2011,Diabetes,8
NC,2011,Diabetes,10.9
ND,2011,Diabetes,8.2
NE,2011,Diabetes,8.4
NH,2011,Diabetes,8.7
NJ,2011,Diabetes,8.8
NM,2011,Diabetes,9.9
NV,2011,Diabetes,10.3
NY,2011,Diabetes,10.4
OH,2011,Diabetes,10
OK,2011,Diabetes,11.1
OR,2011,Diabetes,9.3
PA,2011,Diabetes,9.5
PR,2011,Diabetes,13.5
RI,2011,Diabetes,8.4
SC,2011,Diabetes,12.1
SD,2011,Diabetes,9.5
TN,2011,Diabetes,11.2
TX,2011,Diabetes,10.2
UT,2011,Diabetes,6.7
VA,2011,Diabetes,10.4
VT,2011,Diabetes,7.7
WA,2011,Diabetes,8.9
WI,2011,Diabetes,8.4
WV,2011,Diabetes,12
WY,2011,Diabetes,8.2
AK,2011,Mental Health,3.2
AL,2011,Mental Health,4.8
AR,2011,Mental Health,5.2
AZ,2011,Mental Health,3.9
CA,2011,Mental Health,3.8
CO,2011,Mental Health,3.5
CT,2011,Mental Health,3.6
DC,2011,Mental Health,3.6
DE,2011,Mental Health,3.4
FL,2011,Mental Health,4.3
GA,2011,Mental Health,3.9
GU,2011,Mental Health,2.9
HI,2011,Mental Health,2.8
IA,2011,Mental Health,3
ID,2011,Mental Health,3.9
IL,2011,Mental Health,4
IN,2011,Mental Health,4.2
KS,2011,Mental Health,3.3
KY,2011,Mental Health,4.8
LA,2011,Mental Health,4.4
MA,2011,Mental Health,3.6
MD,2011,Mental Health,3.7
ME,2011,Mental Health,4.1
MI,2011,Mental Health,4.2
MN,2011,Mental Health,3.1
MO,2011,Mental Health,4.1
MS,2011,Mental Health,4.4
MT,2011,Mental Health,3.7
NC,2011,Mental Health,3.7
ND,2011,Mental Health,2.8
NE,2011,Mental Health,3.1
NH,2011,Mental Health,4.1
NJ,2011,Mental Health,3.4
NM,2011,Mental Health,4
NV,2011,Mental Health,3.9
NY,2011,Mental Health,3.7
OH,2011,Mental Health,4.1
OK,2011,Mental Health,4.5
OR,2011,Mental Health,3.8
PA,2011,Mental Health,4.1
PR,2011,Mental Health,3.7
RI,2011,Mental Health,4.3
SC,2011,Mental Health,4.1
SD,2011,Mental Health,3
TN,2011,Mental Health,3.8
TX,2011,Mental Health,3.6
UT,2011,Mental Health,3.6
VA,2011,Mental Health,3.4
VT,2011,Mental Health,3.7
WA,2011,Mental Health,3.7
WI,2011,Mental Health,3.2
WV,2011,Mental Health,4.6
WY,2011,Mental Health,3.5
AK,2011,Unemployment Rate,7.567
AL,2011,Unemployment Rate,9.617
AR,2011,Unemployment Rate,8.292
AZ,2011,Unemployment Rate,9.5
CA,2011,Unemployment Rate,11.708
CO,2011,Unemployment Rate,8.358
CT,2011,Unemployment Rate,8.825
DC,2011,Unemployment Rate,10.158
DE,2011,Unemployment Rate,7.5
FL,2011,Unemployment Rate,9.992
GA,2011,Unemployment Rate,10.233
HI,2011,Unemployment Rate,6.8
IA,2011,Unemployment Rate,5.525
ID,2011,Unemployment Rate,8.317
IL,2011,Unemployment Rate,9.692
IN,2011,Unemployment Rate,9.108
KS,2011,Unemployment Rate,6.492
KY,2011,Unemployment Rate,9.375
LA,2011,Unemployment Rate,7.833
MA,2011,Unemployment Rate,7.242
MD,2011,Unemployment Rate,7.25
ME,2011,Unemployment Rate,7.892
MI,2011,Unemployment Rate,10.392
MN,2011,Unemployment Rate,6.492
MO,2011,Unemployment Rate,8.492
MS,2011,Unemployment Rate,9.983
MT,2011,Unemployment Rate,6.942
NC,2011,Unemployment Rate,10.267
ND,2011,Unemployment Rate,3.467
NE,2011,Unemployment Rate,4.392
NH,2011,Unemployment Rate,5.408
NJ,2011,Unemployment Rate,9.342
NM,2011,Unemployment Rate,7.517
NV,2011,Unemployment Rate,13.017
NY,2011,Unemployment Rate,8.3
OH,2011,Unemployment Rate,8.85
OK,2011,Unemployment Rate,5.875
OR,2011,Unemployment Rate,9.5
PA,2011,Unemployment Rate,7.925
RI,2011,Unemployment Rate,11.025
SC,2011,Unemployment Rate,10.542
SD,2011,Unemployment Rate,4.725
TN,2011,Unemployment Rate,8.967
TX,2011,Unemployment Rate,7.758
UT,2011,Unemployment Rate,6.75
VA,2011,Unemployment Rate,6.592
VT,2011,Unemployment Rate,5.467
WA,2011,Unemployment Rate,9.275
WI,2011,Unemployment Rate,7.758
WV,2011,Unemployment Rate,8.058
WY,2011,Unemployment Rate,5.792
AK,2011,Crude Rate,17.4
AL,2011,Crude Rate,16.3
AR,2011,Crude Rate,15.7
AZ,2011,Crude Rate,14.9
CA,2011,Crude Rate,8
CO,2011,Crude Rate,11.2
CT,2011,Crude Rate,5.9
DC,2011,Crude Rate,13.9
DE,2011,Crude Rate,8.5
FL,2011,Crude Rate,12.5
GA,2011,Crude Rate,12.6
HI,2011,Crude Rate,3.6
IA,2011,Crude Rate,7.2
ID,2011,Crude Rate,12.1
IL,2011,Crude Rate,8.7
IN,2011,Crude Rate,9.8
KS,2011,Crude Rate,11.5
KY,2011,Crude Rate,14.1
LA,2011,Crude Rate,18.9
MA,2011,Crude Rate,3.9
MD,2011,Crude Rate,9.3
ME,2011,Crude Rate,10.2
MI,2011,Crude Rate,11.7
MN,2011,Crude Rate,7.4
MO,2011,Crude Rate,14.2
MS,2011,Crude Rate,17.8
MT,2011,Crude Rate,16.7
NC,2011,Crude Rate,12
ND,2011,Crude Rate,8.9
NE,2011,Crude Rate,8.7
NH,2011,Crude Rate,7
NJ,2011,Crude Rate,5.5
NM,2011,Crude Rate,14.7
NV,2011,Crude Rate,13.8
NY,2011,Crude Rate,5.1
OH,2011,Crude Rate,10.6
OK,2011,Crude Rate,16.6
OR,2011,Crude Rate,10.8
PA,2011,Crude Rate,11.3
RI,2011,Crude Rate,3.1
SC,2011,Crude Rate,15.1
SD,2011,Crude Rate,8.6
TN,2011,Crude Rate,14.8
TX,2011,Crude Rate,10.1
UT,2011,Crude Rate,10.9
VA,2011,Crude Rate,10.7
VT,2011,Crude Rate,12.5
WA,2011,Crude Rate,9.1
WI,2011,Crude Rate,7.8
WV,2011,Crude Rate,15
WY,2011,Crude Rate,16.9
AK,2011,Deaths,126
AL,2011,Deaths,785
AR,2011,Deaths,462
AZ,2011,Deaths,964
CA,2011,Deaths,3004
CO,2011,Deaths,573
CT,2011,Deaths,210
DC,2011,Deaths,86
DE,2011,Deaths,77
FL,2011,Deaths,2378
GA,2011,Deaths,1232
HI,2011,Deaths,49
IA,2011,Deaths,220
ID,2011,Deaths,192
IL,2011,Deaths,1114
IN,2011,Deaths,638
KS,2011,Deaths,329
KY,2011,Deaths,617
LA,2011,Deaths,865
MA,2011,Deaths,254
MD,2011,Deaths,542
ME,2011,Deaths,136
MI,2011,Deaths,1156
MN,2011,Deaths,396
MO,2011,Deaths,854
MS,2011,Deaths,530
MT,2011,Deaths,167
NC,2011,Deaths,1154
ND,2011,Deaths,61
NE,2011,Deaths,161
NH,2011,Deaths,92
NJ,2011,Deaths,482
NM,2011,Deaths,306
NV,2011,Deaths,376
NY,2011,Deaths,997
OH,2011,Deaths,1227
OK,2011,Deaths,628
OR,2011,Deaths,420
PA,2011,Deaths,1438
RI,2011,Deaths,33
SC,2011,Deaths,705
SD,2011,Deaths,71
TN,2011,Deaths,948
TX,2011,Deaths,2599
UT,2011,Deaths,308
VA,2011,Deaths,868
VT,2011,Deaths,78
WA,2011,Deaths,624
WI,2011,Deaths,445
WV,2011,Deaths,278
WY,2011,Deaths,96
AK,2011,Population,722718
AL,2011,Population,4802740
AR,2011,Population,2937979
AZ,2011,Population,6482505
CA,2011,Population,37691912
CO,2011,Population,5116796
CT,2011,Population,3580709
DC,2011,Population,617996
DE,2011,Population,907135
FL,2011,Population,19057542
GA,2011,Population,9815210
HI,2011,Population,1374810
IA,2011,Population,3062309
ID,2011,Population,1584985
IL,2011,Population,12869257
IN,2011,Population,6516922
KS,2011,Population,2871238
KY,2011,Population,4369356
LA,2011,Population,4574836
MA,2011,Population,6587536
MD,2011,Population,5828289
ME,2011,Population,1328188
MI,2011,Population,9876187
MN,2011,Population,5344861
MO,2011,Population,6010688
MS,2011,Population,2978512
MT,2011,Population,998199
NC,2011,Population,9656401
ND,2011,Population,683932
NE,2011,Population,1842641
NH,2011,Population,1318194
NJ,2011,Population,8821155
NM,2011,Population,2082224
NV,2011,Population,2723322
NY,2011,Population,19465197
OH,2011,Population,11544951
OK,2011,Population,3791508
OR,2011,Population,3871859
PA,2011,Population,12742886
RI,2011,Population,1051302
SC,2011,Population,4679230
SD,2011,Population,824082
TN,2011,Population,6403353
TX,2011,Population,25674681
UT,2011,Population,2817222
VA,2011,Population,8096604
VT,2011,Population,626431
WA,2011,Population,6830038
WI,2011,Population,5711767
WV,2011,Population,1855364
WY,2011,Population,568158
AK,2011,Law Strength (2016 only),44
AL,2011,Law Strength (2016 only),36
AR,2011,Law Strength (2016 only),39
AZ,2011,Law Strength (2016 only),47
CA,2011,Law Strength (2016 only),1
CO,2011,Law Strength (2016 only),15
CT,2011,Law Strength (2016 only),3
DE,2011,Law Strength (2016 only),11
FL,2011,Law Strength (2016 only),26
GA,2011,Law Strength (2016 only),32
HI,2011,Law Strength (2016 only),7
IA,2011,Law Strength (2016 only),18
ID,2011,Law Strength (2016 only),46
IL,2011,Law Strength (2016 only),8
IN,2011,Law Strength (2016 only),23
KS,2011,Law Strength (2016 only),48
KY,2011,Law Strength (2016 only),42
LA,2011,Law Strength (2016 only),43
MA,2011,Law Strength (2016 only),4
MD,2011,Law Strength (2016 only),6
ME,2011,Law Strength (2016 only),35
MI,2011,Law Strength (2016 only),16
MN,2011,Law Strength (2016 only),12
MO,2011,Law Strength (2016 only),48
MS,2011,Law Strength (2016 only),50
MT,2011,Law Strength (2016 only),37
NC,2011,Law Strength (2016 only),25
ND,2011,Law Strength (2016 only),37
NE,2011,Law Strength (2016 only),19
NH,2011,Law Strength (2016 only),31
NJ,2011,Law Strength (2016 only),2
NM,2011,Law Strength (2016 only),29
NV,2011,Law Strength (2016 only),22
NY,2011,Law Strength (2016 only),5
OH,2011,Law Strength (2016 only),21
OK,2011,Law Strength (2016 only),27
OR,2011,Law Strength (2016 only),14
PA,2011,Law Strength (2016 only),13
RI,2011,Law Strength (2016 only),9
SC,2011,Law Strength (2016 only),29
SD,2011,Law Strength (2016 only),40
TN,2011,Law Strength (2016 only),24
TX,2011,Law Strength (2016 only),32
UT,2011,Law Strength (2016 only),27
VA,2011,Law Strength (2016 only),20
VT,2011,Law Strength (2016 only),41
WA,2011,Law Strength (2016 only),10
WI,2011,Law Strength (2016 only),17
WV,2011,Law Strength (2016 only),32
WY,2011,Law Strength (2016 only),45
AK,2012,Smoking,20.5
AL,2012,Smoking,23.8
AR,2012,Smoking,25
AZ,2012,Smoking,17.1
CA,2012,Smoking,12.6
CO,2012,Smoking,17.7
CT,2012,Smoking,16
DC,2012,Smoking,19.6
DE,2012,Smoking,19.7
FL,2012,Smoking,17.7
GA,2012,Smoking,20.4
GU,2012,Smoking,25.8
HI,2012,Smoking,14.6
IA,2012,Smoking,18.1
ID,2012,Smoking,16.4
IL,2012,Smoking,18.6
IN,2012,Smoking,24
KS,2012,Smoking,19.4
KY,2012,Smoking,28.3
LA,2012,Smoking,24.8
MA,2012,Smoking,16.4
MD,2012,Smoking,16.2
ME,2012,Smoking,20.3
MI,2012,Smoking,23.3
MN,2012,Smoking,18.8
MO,2012,Smoking,23.9
MS,2012,Smoking,24
MT,2012,Smoking,19.7
NC,2012,Smoking,20.9
ND,2012,Smoking,21.2
NE,2012,Smoking,19.7
NH,2012,Smoking,17.2
NJ,2012,Smoking,17.3
NM,2012,Smoking,19.3
NV,2012,Smoking,18.1
NY,2012,Smoking,16.2
OH,2012,Smoking,23.3
OK,2012,Smoking,23.3
OR,2012,Smoking,17.9
PA,2012,Smoking,21.4
PR,2012,Smoking,12.6
RI,2012,Smoking,17.4
SC,2012,Smoking,22.5
SD,2012,Smoking,22
TN,2012,Smoking,24.9
TX,2012,Smoking,18.2
UT,2012,Smoking,10.6
VA,2012,Smoking,19
VT,2012,Smoking,16.5
WA,2012,Smoking,17.2
WI,2012,Smoking,20.4
WV,2012,Smoking,28.2
WY,2012,Smoking,21.8
AK,2012,Disability,40.1
AL,2012,Disability,42.7
AR,2012,Disability,41.4
AZ,2012,Disability,33.8
CA,2012,Disability,36.6
CO,2012,Disability,32.4
CT,2012,Disability,31.7
DC,2012,Disability,33.6
DE,2012,Disability,32
FL,2012,Disability,33.3
GA,2012,Disability,38.2
HI,2012,Disability,34.4
IA,2012,Disability,32.1
ID,2012,Disability,35.1
IL,2012,Disability,35
IN,2012,Disability,36.1
KS,2012,Disability,35.1
KY,2012,Disability,42.6
LA,2012,Disability,42.7
MA,2012,Disability,33.7
MD,2012,Disability,32.7
ME,2012,Disability,35.4
MI,2012,Disability,36
MN,2012,Disability,31.7
MO,2012,Disability,37.9
MS,2012,Disability,44.5
MT,2012,Disability,36.1
NC,2012,Disability,36.6
ND,2012,Disability,32.6
NE,2012,Disability,33.8
NH,2012,Disability,31.4
NJ,2012,Disability,32.7
NM,2012,Disability,41.4
NV,2012,Disability,35.8
NY,2012,Disability,33.8
OH,2012,Disability,35.3
OK,2012,Disability,40.8
OR,2012,Disability,37.5
PA,2012,Disability,34.6
PR,2012,Disability,51.2
RI,2012,Disability,33.4
SC,2012,Disability,37.1
SD,2012,Disability,34.9
TN,2012,Disability,39.8
TX,2012,Disability,39.1
UT,2012,Disability,34.6
VA,2012,Disability,33.6
VT,2012,Disability,31.4
WA,2012,Disability,35.2
WI,2012,Disability,32.1
WV,2012,Disability,43.4
WY,2012,Disability,36.6
AK,2012,Self Reported Health,14.1
AL,2012,Self Reported Health,25
AR,2012,Self Reported Health,23.7
AZ,2012,Self Reported Health,18.1
CA,2012,Self Reported Health,17.7
CO,2012,Self Reported Health,14.5
CT,2012,Self Reported Health,14.2
DC,2012,Self Reported Health,12.1
DE,2012,Self Reported Health,16.4
FL,2012,Self Reported Health,19.9
GA,2012,Self Reported Health,17.5
GU,2012,Self Reported Health,21.8
HI,2012,Self Reported Health,14.8
IA,2012,Self Reported Health,14
ID,2012,Self Reported Health,15.6
IL,2012,Self Reported Health,17.4
IN,2012,Self Reported Health,20
KS,2012,Self Reported Health,16
KY,2012,Self Reported Health,23.9
LA,2012,Self Reported Health,22.5
MA,2012,Self Reported Health,13.4
MD,2012,Self Reported Health,15.8
ME,2012,Self Reported Health,16.1
MI,2012,Self Reported Health,17.1
MN,2012,Self Reported Health,11.7
MO,2012,Self Reported Health,18.7
MS,2012,Self Reported Health,23.4
MT,2012,Self Reported Health,15.8
NC,2012,Self Reported Health,19.3
ND,2012,Self Reported Health,13.4
NE,2012,Self Reported Health,14.4
NH,2012,Self Reported Health,13.5
NJ,2012,Self Reported Health,16.1
NM,2012,Self Reported Health,21.1
NV,2012,Self Reported Health,19
NY,2012,Self Reported Health,17.5
OH,2012,Self Reported Health,18.3
OK,2012,Self Reported Health,19
OR,2012,Self Reported Health,18.2
PA,2012,Self Reported Health,16.9
PR,2012,Self Reported Health,36.1
RI,2012,Self Reported Health,16.3
SC,2012,Self Reported Health,18.9
SD,2012,Self Reported Health,13.1
TN,2012,Self Reported Health,21.1
TX,2012,Self Reported Health,19.2
UT,2012,Self Reported Health,13.1
VA,2012,Self Reported Health,17.5
VT,2012,Self Reported Health,12.1
WA,2012,Self Reported Health,16.2
WI,2012,Self Reported Health,14
WV,2012,Self Reported Health,25.2
WY,2012,Self Reported Health,14.9
AK,2012,Drinking,6.6
AL,2012,Drinking,5.2
AR,2012,Drinking,4.1
AZ,2012,Drinking,5.1
CA,2012,Drinking,5.8
CO,2012,Drinking,6.5
CT,2012,Drinking,6.5
DC,2012,Drinking,8.1
DE,2012,Drinking,6.8
FL,2012,Drinking,7.1
GA,2012,Drinking,5.1
GU,2012,Drinking,7.5
HI,2012,Drinking,7.4
IA,2012,Drinking,6.2
ID,2012,Drinking,5.7
IL,2012,Drinking,6.1
IN,2012,Drinking,5.1
KS,2012,Drinking,5.3
KY,2012,Drinking,5.3
LA,2012,Drinking,6.9
MA,2012,Drinking,7.4
MD,2012,Drinking,5.5
ME,2012,Drinking,6.7
MI,2012,Drinking,6.1
MN,2012,Drinking,6.3
MO,2012,Drinking,6.3
MS,2012,Drinking,4.6
MT,2012,Drinking,8.5
NC,2012,Drinking,4.9
ND,2012,Drinking,6.4
NE,2012,Drinking,7.2
NH,2012,Drinking,7.3
NJ,2012,Drinking,5.3
NM,2012,Drinking,5.5
NV,2012,Drinking,6.5
NY,2012,Drinking,5
OH,2012,Drinking,6.3
OK,2012,Drinking,4.6
OR,2012,Drinking,7.3
PA,2012,Drinking,5.7
PR,2012,Drinking,4.9
RI,2012,Drinking,6.2
SC,2012,Drinking,5.9
SD,2012,Drinking,5.9
TN,2012,Drinking,3.6
TX,2012,Drinking,6.1
UT,2012,Drinking,3.5
VA,2012,Drinking,5.4
VT,2012,Drinking,7.5
WA,2012,Drinking,6.4
WI,2012,Drinking,8.5
WV,2012,Drinking,3.5
WY,2012,Drinking,6
AK,2012,Leisure Physical Activities,18.5
AL,2012,Leisure Physical Activities,27.2
AR,2012,Leisure Physical Activities,31.5
AZ,2012,Leisure Physical Activities,22.6
CA,2012,Leisure Physical Activities,19.2
CO,2012,Leisure Physical Activities,17
CT,2012,Leisure Physical Activities,22.1
DC,2012,Leisure Physical Activities,17.4
DE,2012,Leisure Physical Activities,23.5
FL,2012,Leisure Physical Activities,23.3
GA,2012,Leisure Physical Activities,23.6
GU,2012,Leisure Physical Activities,27.6
HI,2012,Leisure Physical Activities,18.7
IA,2012,Leisure Physical Activities,23.1
ID,2012,Leisure Physical Activities,20.3
IL,2012,Leisure Physical Activities,21.8
IN,2012,Leisure Physical Activities,25.9
KS,2012,Leisure Physical Activities,22.9
KY,2012,Leisure Physical Activities,29.7
LA,2012,Leisure Physical Activities,29.9
MA,2012,Leisure Physical Activities,19.8
MD,2012,Leisure Physical Activities,23.1
ME,2012,Leisure Physical Activities,20.9
MI,2012,Leisure Physical Activities,23.3
MN,2012,Leisure Physical Activities,17.6
MO,2012,Leisure Physical Activities,24.7
MS,2012,Leisure Physical Activities,30.8
MT,2012,Leisure Physical Activities,20.5
NC,2012,Leisure Physical Activities,24.9
ND,2012,Leisure Physical Activities,23.8
NE,2012,Leisure Physical Activities,21
NH,2012,Leisure Physical Activities,20
NJ,2012,Leisure Physical Activities,24.9
NM,2012,Leisure Physical Activities,21.8
NV,2012,Leisure Physical Activities,21.3
NY,2012,Leisure Physical Activities,24.7
OH,2012,Leisure Physical Activities,25.3
OK,2012,Leisure Physical Activities,28.3
OR,2012,Leisure Physical Activities,16.3
PA,2012,Leisure Physical Activities,23.5
PR,2012,Leisure Physical Activities,42.4
RI,2012,Leisure Physical Activities,23.6
SC,2012,Leisure Physical Activities,25.1
SD,2012,Leisure Physical Activities,22.5
TN,2012,Leisure Physical Activities,28.6
TX,2012,Leisure Physical Activities,27.2
UT,2012,Leisure Physical Activities,16.5
VA,2012,Leisure Physical Activities,22.5
VT,2012,Leisure Physical Activities,17.2
WA,2012,Leisure Physical Activities,19
WI,2012,Leisure Physical Activities,20.4
WV,2012,Leisure Physical Activities,31
WY,2012,Leisure Physical Activities,21.1
AK,2012,Overweight,64.8
AL,2012,Overweight,67.7
AR,2012,Overweight,68.7
AZ,2012,Overweight,62
CA,2012,Overweight,60.3
CO,2012,Overweight,55.7
CT,2012,Overweight,62.3
DC,2012,Overweight,51.9
DE,2012,Overweight,66
FL,2012,Overweight,62.1
GA,2012,Overweight,64.6
GU,2012,Overweight,61.5
HI,2012,Overweight,56
IA,2012,Overweight,64.7
ID,2012,Overweight,62.5
IL,2012,Overweight,64
IN,2012,Overweight,65.5
KS,2012,Overweight,65.6
KY,2012,Overweight,66.9
LA,2012,Overweight,69.6
MA,2012,Overweight,58.8
MD,2012,Overweight,63.8
ME,2012,Overweight,64.2
MI,2012,Overweight,65.6
MN,2012,Overweight,63
MO,2012,Overweight,65.7
MS,2012,Overweight,68.9
MT,2012,Overweight,61.3
NC,2012,Overweight,65.8
ND,2012,Overweight,66.2
NE,2012,Overweight,65
NH,2012,Overweight,62.1
NJ,2012,Overweight,61.6
NM,2012,Overweight,62.8
NV,2012,Overweight,62.5
NY,2012,Overweight,60.6
OH,2012,Overweight,65.3
OK,2012,Overweight,67.8
OR,2012,Overweight,61.2
PA,2012,Overweight,64.9
PR,2012,Overweight,66.1
RI,2012,Overweight,62.9
SC,2012,Overweight,66.1
SD,2012,Overweight,66.1
TN,2012,Overweight,65.4
TX,2012,Overweight,65.1
UT,2012,Overweight,57.8
VA,2012,Overweight,63.6
VT,2012,Overweight,60.3
WA,2012,Overweight,62.2
WI,2012,Overweight,66.4
WV,2012,Overweight,68.3
WY,2012,Overweight,63.3
AK,2012,poverty,10.1
AL,2012,poverty,19
AR,2012,poverty,19.8
AZ,2012,poverty,18.7
CA,2012,poverty,17
CO,2012,poverty,13.7
CT,2012,poverty,10.7
DC,2012,poverty,18.2
DE,2012,poverty,12
FL,2012,poverty,17.1
GA,2012,poverty,19.2
HI,2012,poverty,11.6
IA,2012,poverty,12.7
ID,2012,poverty,15.9
IL,2012,poverty,14.7
IN,2012,poverty,15.6
KS,2012,poverty,14
KY,2012,poverty,19.4
LA,2012,poverty,19.9
MA,2012,poverty,11.9
MD,2012,poverty,10.3
ME,2012,poverty,14.7
MI,2012,poverty,17.4
MN,2012,poverty,11.4
MO,2012,poverty,16.2
MS,2012,poverty,24.2
MT,2012,poverty,15.5
NC,2012,poverty,18
ND,2012,poverty,11.2
NE,2012,poverty,13
NH,2012,poverty,10
NJ,2012,poverty,10.8
NM,2012,poverty,20.8
NV,2012,poverty,16.4
NY,2012,poverty,15.9
OH,2012,poverty,16.3
OK,2012,poverty,17.2
OR,2012,poverty,17.2
PA,2012,poverty,13.7
PR,2012,poverty,44.9
RI,2012,poverty,13.7
SC,2012,poverty,18.3
SD,2012,poverty,13.4
TN,2012,poverty,17.9
TX,2012,poverty,17.9
UT,2012,poverty,12.8
VA,2012,poverty,11.7
VT,2012,poverty,11.8
WA,2012,poverty,13.5
WI,2012,poverty,13.2
WV,2012,poverty,17.8
WY,2012,poverty,12.6
AK,2012,Diabetes,7
AL,2012,Diabetes,12.2
AR,2012,Diabetes,11.3
AZ,2012,Diabetes,10.6
CA,2012,Diabetes,9.8
CO,2012,Diabetes,7.4
CT,2012,Diabetes,9.1
DC,2012,Diabetes,8.2
DE,2012,Diabetes,9.6
FL,2012,Diabetes,11.4
GA,2012,Diabetes,9.9
GU,2012,Diabetes,9.6
HI,2012,Diabetes,7.8
IA,2012,Diabetes,9.7
ID,2012,Diabetes,8.5
IL,2012,Diabetes,9.4
IN,2012,Diabetes,10.9
KS,2012,Diabetes,9.4
KY,2012,Diabetes,10.7
LA,2012,Diabetes,12.3
MA,2012,Diabetes,8.3
MD,2012,Diabetes,10.2
ME,2012,Diabetes,9.7
MI,2012,Diabetes,10.5
MN,2012,Diabetes,7.3
MO,2012,Diabetes,10.7
MS,2012,Diabetes,12.5
MT,2012,Diabetes,7.2
NC,2012,Diabetes,10.4
ND,2012,Diabetes,8.6
NE,2012,Diabetes,8.1
NH,2012,Diabetes,9.1
NJ,2012,Diabetes,9.3
NM,2012,Diabetes,10.3
NV,2012,Diabetes,8.9
NY,2012,Diabetes,9.7
OH,2012,Diabetes,11.7
OK,2012,Diabetes,11.5
OR,2012,Diabetes,9.9
PA,2012,Diabetes,10.2
PR,2012,Diabetes,16.4
RI,2012,Diabetes,9.8
SC,2012,Diabetes,11.6
SD,2012,Diabetes,7.8
TN,2012,Diabetes,11.9
TX,2012,Diabetes,10.6
UT,2012,Diabetes,7.2
VA,2012,Diabetes,10.6
VT,2012,Diabetes,7.3
WA,2012,Diabetes,8.8
WI,2012,Diabetes,8.3
WV,2012,Diabetes,13
WY,2012,Diabetes,9.1
AK,2012,Sleep,61.7
KS,2012,Sleep,64.2
NV,2012,Sleep,61.3
OR,2012,Sleep,65.4
PR,2012,Sleep,63.6
AK,2012,Mental Health,3.2
AL,2012,Mental Health,5.2
AR,2012,Mental Health,4.7
AZ,2012,Mental Health,4
CA,2012,Mental Health,3.8
CO,2012,Mental Health,3.5
CT,2012,Mental Health,3.6
DC,2012,Mental Health,3.8
DE,2012,Mental Health,3.7
FL,2012,Mental Health,4.4
GA,2012,Mental Health,3.6
GU,2012,Mental Health,2.9
HI,2012,Mental Health,2.9
IA,2012,Mental Health,3
ID,2012,Mental Health,3.8
IL,2012,Mental Health,3.5
IN,2012,Mental Health,4.3
KS,2012,Mental Health,3.2
KY,2012,Mental Health,4.9
LA,2012,Mental Health,4.1
MA,2012,Mental Health,3.8
MD,2012,Mental Health,3.5
ME,2012,Mental Health,4
MI,2012,Mental Health,4.1
MN,2012,Mental Health,3.1
